,time,open,high,low,close
1,1601282400.0,10883.0,10883.0,10883.0,10883.0
2,1601282700.0,10883.0,10883.0,10871.32,10871.32
3,1601283000.0,10871.32,10871.32,10871.32,10871.32
4,1601283300.0,10871.32,10871.32,10871.32,10871.32
5,1601283600.0,10847.15,10865.65,10847.15,10864.28
6,1601283900.0,10864.28,10864.28,10864.28,10864.28
7,1601284200.0,10872.28,10872.28,10872.28,10872.28
8,1601284500.0,10872.28,10872.28,10872.28,10872.28
9,1601284800.0,10872.28,10872.28,10872.28,10872.28
10,1601285100.0,10852.27,10852.27,10852.27,10852.27
11,1601285400.0,10852.27,10852.27,10852.27,10852.27
12,1601285700.0,10834.61,10834.61,10834.61,10834.61
13,1601286000.0,10834.61,10834.61,10834.61,10834.61
14,1601286300.0,10845.0,10845.0,10845.0,10845.0
15,1601286600.0,10858.2,10858.88,10858.2,10858.88
16,1601286900.0,10863.32,10863.32,10854.61,10854.61
17,1601287200.0,10854.61,10854.61,10854.61,10854.61
18,1601287500.0,10861.89,10868.1,10860.49,10868.1
19,1601287800.0,10868.1,10868.1,10868.1,10868.1
20,1601288100.0,10868.1,10868.1,10868.1,10868.1
21,1601288400.0,10872.37,10872.37,10872.37,10872.37
22,1601288700.0,10872.37,10872.37,10872.37,10872.37
23,1601289000.0,10883.6,10884.64,10883.6,10884.64
24,1601289300.0,10877.85,10877.85,10877.85,10877.85
25,1601289600.0,10875.48,10879.17,10875.48,10879.17
26,1601289900.0,10873.41,10874.86,10870.3,10870.3
27,1601290200.0,10879.97,10879.97,10879.97,10879.97
28,1601290500.0,10879.97,10879.97,10879.97,10879.97
29,1601290800.0,10879.97,10879.97,10879.97,10879.97
30,1601291100.0,10890.49,10898.87,10890.49,10898.87
31,1601291400.0,10893.84,10893.84,10893.84,10893.84
32,1601291700.0,10893.14,10893.14,10893.14,10893.14
33,1601292000.0,10893.14,10893.14,10893.14,10893.14
34,1601292300.0,10860.85,10860.85,10860.85,10860.85
35,1601292600.0,10866.1,10866.1,10864.68,10864.68
36,1601292900.0,10864.31,10877.77,10861.81,10874.05
37,1601293200.0,10874.05,10874.05,10874.05,10874.05
38,1601293500.0,10874.05,10874.05,10874.05,10874.05
39,1601293800.0,10872.67,10872.67,10871.65,10871.65
40,1601294100.0,10865.59,10872.04,10865.59,10872.04
41,1601294400.0,10870.5,10873.2,10869.93,10870.95
42,1601294700.0,10886.29,10890.87,10886.29,10890.87
43,1601295000.0,10898.24,10917.58,10898.24,10912.73
44,1601295300.0,10911.58,10914.11,10907.31,10907.31
45,1601295600.0,10907.31,10907.31,10907.31,10907.31
46,1601295900.0,10898.65,10899.1,10895.53,10899.1
47,1601296200.0,10902.1,10919.92,10902.1,10919.92
48,1601296500.0,10930.0,10939.31,10925.44,10925.44
49,1601296800.0,10897.05,10897.05,10839.9,10865.09
50,1601297100.0,10867.6,10867.6,10867.6,10867.6
51,1601297400.0,10892.02,10892.02,10892.02,10892.02
52,1601297700.0,10900.8,10903.66,10900.8,10903.66
53,1601298000.0,10903.66,10903.66,10903.66,10903.66
54,1601298300.0,10903.66,10903.66,10903.66,10903.66
55,1601298600.0,10910.28,10939.14,10906.43,10935.47
56,1601298900.0,10935.47,10935.47,10935.47,10935.47
57,1601299200.0,10933.33,10933.33,10933.33,10933.33
58,1601299500.0,10925.11,10925.11,10923.02,10923.02
59,1601299800.0,10932.98,10934.49,10922.16,10926.33
60,1601300100.0,10933.56,10933.56,10933.14,10933.14
61,1601300400.0,10923.54,10924.08,10918.43,10918.43
62,1601300700.0,10910.62,10910.62,10880.44,10884.8
63,1601301000.0,10876.38,10880.47,10876.38,10880.47
64,1601301300.0,10878.53,10878.53,10878.53,10878.53
65,1601301600.0,10887.63,10887.63,10887.63,10887.63
66,1601301900.0,10887.63,10887.63,10887.63,10887.63
67,1601302200.0,10886.45,10886.45,10886.45,10886.45
68,1601302500.0,10886.45,10886.45,10886.45,10886.45
69,1601302800.0,10904.94,10913.55,10851.54,10913.55
70,1601303100.0,10913.55,10913.55,10913.55,10913.55
71,1601303400.0,10897.91,10905.15,10897.91,10905.15
72,1601303700.0,10888.47,10888.47,10888.47,10888.47
73,1601304000.0,10888.47,10888.47,10888.47,10888.47
