,TOD,pnl,short,long,take_prof,avgwin,avgloss,numtrades,winpct,drawdown,expected
0,00:00:00,339.4514257894812,30.0,50.0,0.0025263157894736842,15.793383552631576,-35.54270732142803,67.0,0.7910447761194029,-794.7900000000009,5.066439190887775
1,00:30:00,526.0577750000003,30.0,100.0,0.004,27.615245185185184,-31.36483499999997,34.0,0.7941176470588235,-738.5,15.472287500000002
2,01:00:00,508.7558663157952,9.0,20.0,0.003157894736842105,21.136506515479873,-27.40100398936158,132.0,0.6439393939393939,-142.6299999999992,3.8542111084529918
3,01:30:00,601.3326775000055,20.0,30.0,0.0030526315789473684,20.27819672131148,-31.78186612499973,81.0,0.7530864197530864,-330.59000000000015,7.423860216049454
4,02:00:00,665.9428299999986,30.0,50.0,0.004,29.576719632352944,-30.878694318181946,45.0,0.7555555555555555,-116.85999999999967,14.798729555555525
5,02:30:00,677.7696499999993,30.0,50.0,0.004,28.55194423611111,-35.01003425000009,46.0,0.782608695652174,-148.5,14.734122826086939
6,03:00:00,297.94805750000023,20.0,100.0,0.004,31.2048425,-32.486694090909076,32.0,0.65625,-329.0,9.310876796875007
7,03:30:00,299.03426263158076,30.0,100.0,0.0038947368421052633,28.527428954293633,-34.71241249999976,26.0,0.7307692307692307,-275.5600000000004,11.50131779352233
8,04:00:00,211.79820499999835,30.0,100.0,0.004,28.274032065217394,-29.233635500000112,38.0,0.6052631578947368,-273.2600000000002,5.573636973684167
9,04:30:00,449.69175986842345,50.0,100.0,0.0037894736842105266,28.69775703216375,-40.64345999999971,35.0,0.7714285714285715,-445.28000000000065,12.848335996240676
10,05:00:00,213.38827092105498,50.0,100.0,0.003263157894736842,23.73012570637119,-39.58068624999961,25.0,0.76,-241.65999999999985,8.535530836842199
11,05:30:00,460.9404624999986,30.0,100.0,0.004,27.280877500000006,-24.836235250000147,36.0,0.7222222222222222,-227.92000000000007,12.803901736111076
12,06:00:00,84.57204750000136,30.0,50.0,0.004,29.015001250000008,-31.896094523809467,47.0,0.5531914893617021,-118.93000000000029,1.7994052659574784
13,06:30:00,215.8328899999995,50.0,100.0,0.004,28.49344178571429,-61.02509833333351,17.0,0.8235294117647058,-601.5100000000002,12.696052352941145
14,07:00:00,25.81318486842102,30.0,100.0,0.0029473684210526317,19.18078999401914,-28.29744250000001,36.0,0.6111111111111112,-98.68000000000029,0.7170329130116961
15,07:30:00,185.33723697368535,50.0,100.0,0.003157894736842105,20.539573044258372,-53.30667399999978,27.0,0.8148148148148148,-172.9400000000005,6.864342110136489
16,08:00:00,254.5200899999997,9.0,50.0,0.0037894736842105266,27.378725901639346,-31.457382000000013,106.0,0.5754716981132075,-116.06999999999971,2.401132924528296
