,TOD,pnl,short,long,take_prof,avgwin,avgloss,numtrades,winpct,drawdown,expected
17,08:30:00,75.20888026315613,30.0,50.0,0.0022105263157894735,13.082542233981693,-35.105870833333455,61.0,0.7540983606557377,-216.51000000000022,1.2329324633304246
18,09:00:00,165.86238368420973,50.0,100.0,0.0024210526315789475,15.06747495614035,-31.795762777777878,39.0,0.7692307692307693,-347.7600000000002,4.252881632928453
19,09:30:00,157.8040724999962,20.0,50.0,0.004,28.573839256756756,-33.31214740740756,64.0,0.578125,-138.46000000000004,2.465688632812437
20,10:00:00,155.1294222368414,50.0,100.0,0.0024210526315789475,14.725771151315788,-42.86536166666679,34.0,0.8235294117647058,-469.4400000000005,4.562630065789449
21,10:30:00,223.89728578947805,30.0,50.0,0.0037894736842105266,26.01739269963703,-33.16294390624973,45.0,0.6444444444444445,-473.5699999999997,4.9754952397661825
22,11:00:00,195.54672828947798,20.0,30.0,0.0038947368421052633,27.21151659324943,-35.20610116666653,76.0,0.6052631578947368,-338.6200000000008,2.5729832669668156
23,11:30:00,336.7451374999994,20.0,50.0,0.004,29.112789642857145,-34.076616442307724,68.0,0.6176470588235294,-435.6100000000006,4.952134374999991
24,12:00:00,423.9580874999976,20.0,30.0,0.004,28.62952625,-33.4203901351352,95.0,0.6105263157894737,-459.40999999999985,4.462716710526291
25,12:30:00,348.69752447369035,20.0,50.0,0.0038947368421052633,26.50719161566708,-41.637458684210216,62.0,0.6935483870967742,-233.97999999999956,5.624153620543394
26,13:00:00,88.3783156578945,20.0,50.0,0.0023157894736842107,13.007618709954238,-31.87325906250002,62.0,0.7419354838709677,-328.3799999999992,1.4254567041595916
27,13:30:00,176.17462157894613,30.0,100.0,0.003473684210526316,22.8309340037594,-30.32749925000012,31.0,0.6774193548387096,-266.6300000000001,5.683052308998262
28,14:00:00,79.69140500000077,50.0,100.0,0.004,29.529691176470592,-52.78916812499992,25.0,0.68,-356.0599999999995,3.187656200000035
29,14:30:00,245.66625236841077,20.0,30.0,0.003473684210526316,24.203246664473685,-33.51468187500028,96.0,0.625,-609.0700000000015,2.5590234621709484
30,15:00:00,379.65500486842234,30.0,100.0,0.0038947368421052633,25.283332820366137,-28.837378571428395,30.0,0.7666666666666667,-196.97999999999956,12.655166828947417
31,15:30:00,-1.6459000000017028,50.0,100.0,0.004,24.314706764705885,-46.11065722222242,26.0,0.6538461538461539,-280.77000000000044,-0.0633038461539126
32,16:00:00,56.40766671052296,14.0,100.0,0.0037894736842105266,27.568000480263162,-47.559652386363794,62.0,0.6451612903225806,-259.7099999999991,0.9098010759761763
33,16:30:00,282.52343328947285,50.0,100.0,0.003157894736842105,21.357023599624064,-45.06760392857155,35.0,0.8,-283.4300000000003,8.072098093984943
34,17:00:00,156.86473078947262,50.0,100.0,0.003368421052631579,24.43332866447368,-47.40026321428587,27.0,0.7407407407407407,-246.64999999999964,5.809804844054536
35,17:30:00,176.2396177631573,30.0,100.0,0.0029473684210526317,19.341235010964912,-28.795002250000074,34.0,0.7058823529411765,-252.97000000000116,5.183518169504625
36,18:00:00,145.57148750000005,50.0,100.0,0.0025263157894736842,15.796771875,-59.347624999999994,33.0,0.8484848484848485,-213.0,4.411257196969698
37,18:30:00,120.92150750000096,20.0,100.0,0.004,28.699122833333337,-34.39614833333324,24.0,0.625,-185.54000000000087,5.038396145833371
38,19:00:00,182.4402605263157,20.0,100.0,0.0022105263157894735,11.66322225952813,-22.256169285714293,36.0,0.8055555555555556,-114.29999999999927,5.067785014619883
39,19:30:00,191.3641018421053,30.0,100.0,0.0030526315789473684,19.857203947368422,-24.5494385,32.0,0.6875,-234.95000000000073,5.980128182565789
40,20:00:00,358.92992236842287,50.0,100.0,0.003473684210526316,23.385649198564593,-38.888589999999525,26.0,0.8461538461538461,-294.2600000000002,13.804997014170112
41,20:30:00,265.5298735526336,9.0,100.0,0.00368421052631579,27.272024469439735,-27.614423095238013,52.0,0.5961538461538461,-1258.1800000000003,5.106343722166031
42,21:00:00,-13.69191315789024,9.0,20.0,0.003473684210526316,23.480931225849435,-28.74900738461531,144.0,0.5486111111111112,-182.83999999999833,-0.09508273026312075
43,21:30:00,286.0689800000007,50.0,100.0,0.004,28.184007647058827,-32.17652499999989,23.0,0.7391304347826086,-887.4400000000005,12.437781739130463
44,22:00:00,49.51060368421008,14.0,100.0,0.003578947368421053,24.175132111528825,-35.772035000000024,69.0,0.6086956521739131,-172.5500000000011,0.7175449809305814
45,22:30:00,168.30104421052647,50.0,100.0,0.0023157894736842107,13.401159104251015,-36.02581849999997,31.0,0.8387096774193549,-283.96999999999935,5.429065942275051
46,23:00:00,210.90619921052632,50.0,100.0,0.002631578947368421,17.536947462406015,-39.342424375,25.0,0.84,-254.17999999999847,8.436247968421052
47,23:30:00,134.22143157894885,30.0,100.0,0.003157894736842105,21.1495814354067,-36.785484444444286,31.0,0.7096774193548387,-226.21999999999935,4.32972359932093
